true_bead_C,modeled_error_min_C,modeled_error_max_C,half_LSB_error_max_C,self_heating_estimate_C,source_impedance_ohm,filter_tau_ms,filter_settle_half_LSB_ms,R25_positive_parameter_error_C,beta_positive_parameter_error_C,pullup_positive_parameter_error_C,ADC_2LSB_positive_parameter_error_C
52,-2.4329027949839883,2.494952020016001,0.07508112171666426,0.27294700688162177,3775.410924240753,0.3775410924240753,2.8782381087359825,-0.3059633708562046,1.478950471698056,0.3065402744124981,-0.29916953670027624
53,-2.5019157722996397,2.5678771282001094,0.07665842721706895,0.2689853530733716,3710.933129246998,0.37109331292469977,2.829082546482686,-0.3078473568671143,1.5387026116259221,0.3084295996205242,-0.3054118210635579
54,-2.571484597097424,2.6415189110300616,0.07829260821392836,0.2649959983498452,3647.7898301369924,0.3647789830136992,2.780944356109069,-0.30973711998512954,1.598811931243688,0.3103247347771685,-0.3118780079978478
55,-2.6416132883669547,2.715885973901493,0.07998487369411578,0.2609852140268949,3585.9717303755892,0.3585971730375589,2.7338164502696025,-0.311632660160285,1.6592786111579585,0.31222567993290795,-0.31857273145726595
56,-2.712305986776528,2.790987187389817,0.08173646896011633,0.2569589747762005,3525.468198201528,0.3525468198201528,2.6876907236901744,-0.31353397734221744,1.7201028320970977,0.3141324351383332,-0.32550076088773494
57,-2.783566953465993,2.8668316889841208,0.08354867559563672,0.25292295826708516,3466.267368963954,0.3466267368963954,2.6425581311857904,-0.3154410714809046,1.7812847749114553,0.31604500044392125,-0.3326670006278505
58,-2.8554005689128985,2.943428884993864,0.08542281145287234,0.24888254625118447,3408.3562445264806,0.3408356244526481,2.5984087634426727,-0.31735394252621063,1.8428246205733672,0.3179633759002627,-0.34007648937807744
59,-2.927811331865769,3.0207884526221846,0.08736023065932841,0.2448428269513927,3351.720789501758,0.33517207895017576,2.555231920384048,-0.3192725904278291,1.9047225501770981,0.31988756155789133,-0.3477343997346338
60,-3.0008038583396797,3.0989203422017226,0.08936232364402485,0.24080859862029516,3296.3460241217517,0.3296346024121751,2.513016181971123,-0.3211970151357946,1.9669787449392402,0.321817557467341,-0.35564603778226456
61,-3.0743828806699867,3.177834779586817,0.09143051718132256,0.23678437413798425,3242.2161135883484,0.3242216113588348,2.471749476320786,-0.3231272165998007,2.0295933861987123,0.3237533636791454,-0.36381684274101644
62,-3.1485532466182917,3.2575422686990123,0.09356627445180266,0.23277438652458768,3189.3144537853923,0.31893144537853924,2.431419145049396,-0.32506319476982526,2.0925666554168174,0.32569498024378163,-0.3722523866633196
63,-3.2233199185278067,3.3380535942216625,0.0957710951187778,0.22878259524884212,3137.623753266731,0.3137623753266731,2.3920120057775325,-0.32700494959561865,2.1558987341771854,0.3276424072118971,-0.3809583741755773
64,-3.2986879725225435,3.4193798244401705,0.09804651542026477,0.22481269322048536,3087.1261114654963,0.3087126111465496,2.3535144117539515,-0.3289524810271587,2.2195898041863416,0.3295956446340256,-0.38994064226176306
65,-3.3746625977478857,3.501532314224278,0.10039410827471329,0.22086811436099407,3037.803093097601,0.3037803093097601,2.3159123085781466,-0.3309057890140821,2.283640047273366,0.33155469256064407,-0.39920516008362483
66,-3.4512490956478246,3.584522708150871,0.10281548340054769,0.21695204165411824,2989.635798757309,0.2989635798757309,2.279191288019885,-0.3328648735063666,2.348049645390063,0.3335195510423432,-0.40875802883539336
67,-3.528452879276017,3.668362943763782,0.10531228744844157,0.213067415584696,2942.6049317250854,0.2942604931725085,2.243336638951118,-0.3348297344538764,2.41281878061136,0.3354902201296568,-0.4186054816279352
68,-3.6062794726372545,3.753065254968817,0.10788620414530214,0.20921694288124315,2896.690861027557,0.28966908610275566,2.20833339542064,-0.3368003718063619,2.4779476351351377,0.3374666998732323,-0.4287538834001907
69,-3.6847345100558755,3.8386421755622564,0.11053895445002127,0.20540310548475363,2851.873680806704,0.2851873680806704,2.174166381915034,-0.3387767855138577,2.5434363912822846,0.33944899032337617,-0.43920973085425885
70,-3.763823735568792,3.925106542892081,0.11327229671957184,0.20162816967293962,2808.133266070313,0.2808133266070313,2.1408202558608176,-0.3407589755260574,2.6092852314971537,0.3414370915307927,-0.44997965241071824
71,-3.8435530023397746,4.012471501648918,0.1160880268857909,0.19789419527573981,2765.449324908567,0.2765449324908567,2.108279547432506,-0.3427469417928819,2.675494338347164,0.3434310035460726,-0.4610704081824224
72,-3.9239282720930078,4.100750507787268,0.11898797864148491,0.1942030449242745,2723.801447272398,0.2723801447272398,2.076528696739478,-0.3447406842641385,2.742063894523369,0.34543072641969275,-0.4724888899625057
73,-4.004955614562675,4.189957332576341,0.1219740236355733,0.19055639328150897,2683.1691504181845,0.2683169150418184,2.0455520884713887,-0.34674020288974816,2.8089940828401723,0.347436260202187,-0.48424212122603194
74,-4.086641206956301,4.280106066778785,0.12504807167766785,0.1869557362086629,2643.531921130605,0.26435319211306046,2.0153340840873595,-0.3487454976194613,2.8762850862360665,0.34944760494414595,-0.49633725713948706
75,-4.1689913334307676,4.371211124958222,0.12821207094970077,0.1834023998268626,2604.869254841182,0.26048692548411817,1.985859051638557,-0.3507565684033125,2.9439370877726674,0.3514647606960466,-0.5087815845806745
